nearest_kb_similarity_threshold,centroid_similarity_threshold,lexical_gate_required,ticket_threshold,Tool Decision Accuracy,ANSWER F1,ANSWER Precision,ANSWER Recall,TICKET F1,TICKET Precision,TICKET Recall,REJECT F1,REJECT Precision,REJECT Recall,confusion_matrix,Macro-F1,FalseRejectRate,FalseAcceptRate,OODAnswerRate,TicketMissRate
0.25,0.25,True,0.3,0.69,0.8002680965147453,0.6692825112107623,0.995,0.5913621262458472,0.8811881188118812,0.445,0.03864734299516908,0.5714285714285714,0.02,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 12, 'REJECT': 4}}",0.4767591885852538,0.00375,0.98,0.92,0.555
0.25,0.25,True,0.35,0.699,0.8002680965147453,0.6692825112107623,0.995,0.6095890410958904,0.967391304347826,0.445,0.12037037037037038,0.8125,0.065,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 3, 'REJECT': 13}}",0.5100758359936687,0.00375,0.935,0.92,0.555
0.25,0.25,True,0.4,0.701,0.8002680965147453,0.6692825112107623,0.995,0.6137931034482759,0.9888888888888889,0.445,0.13761467889908258,0.8333333333333334,0.075,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 1, 'REJECT': 15}}",0.5172252929540345,0.00375,0.925,0.92,0.555
0.25,0.25,True,0.45,0.701,0.8002680965147453,0.6692825112107623,0.995,0.6137931034482759,0.9888888888888889,0.445,0.13761467889908258,0.8333333333333334,0.075,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 1, 'REJECT': 15}}",0.5172252929540345,0.00375,0.925,0.92,0.555
0.25,0.25,False,0.3,0.69,0.8002680965147453,0.6692825112107623,0.995,0.5913621262458472,0.8811881188118812,0.445,0.03864734299516908,0.5714285714285714,0.02,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 12, 'REJECT': 4}}",0.4767591885852538,0.00375,0.98,0.92,0.555
0.25,0.25,False,0.35,0.699,0.8002680965147453,0.6692825112107623,0.995,0.6095890410958904,0.967391304347826,0.445,0.12037037037037038,0.8125,0.065,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 3, 'REJECT': 13}}",0.5100758359936687,0.00375,0.935,0.92,0.555
0.25,0.25,False,0.4,0.701,0.8002680965147453,0.6692825112107623,0.995,0.6137931034482759,0.9888888888888889,0.445,0.13761467889908258,0.8333333333333334,0.075,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 1, 'REJECT': 15}}",0.5172252929540345,0.00375,0.925,0.92,0.555
0.25,0.25,False,0.45,0.701,0.8002680965147453,0.6692825112107623,0.995,0.6137931034482759,0.9888888888888889,0.445,0.13761467889908258,0.8333333333333334,0.075,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 1, 'REJECT': 15}}",0.5172252929540345,0.00375,0.925,0.92,0.555
0.25,0.3,True,0.3,0.69,0.8002680965147453,0.6692825112107623,0.995,0.5913621262458472,0.8811881188118812,0.445,0.03864734299516908,0.5714285714285714,0.02,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 12, 'REJECT': 4}}",0.4767591885852538,0.00375,0.98,0.92,0.555
0.25,0.3,True,0.35,0.699,0.8002680965147453,0.6692825112107623,0.995,0.6095890410958904,0.967391304347826,0.445,0.12037037037037038,0.8125,0.065,"{'ANSWER': {'ANSWER': 597, 'TICKET': 0, 'REJECT': 3}, 'TICKET': {'ANSWER': 111, 'TICKET': 89, 'REJECT': 0}, 'REJECT': {'ANSWER': 184, 'TICKET': 3, 'REJECT': 13}}",0.5100758359936687,0.00375,0.935,0.92,0.555
